stations,lon,lat
59 ST,-73.9773038,40.7661851
5 AV/59 ST,-73.9730051,40.7643054
57 ST-7 AV,-73.9803258,40.7655439
49 ST,-73.9838259,40.7606529
TIMES SQ-42 ST,-73.98778329999999,40.7560445
34 ST-HERALD SQ,-73.9876706,40.7496439
28 ST,-73.9887365,40.7452998
23 ST,-73.9984746,40.7453063
14 ST-UNION SQ,-73.99073,40.734791
8 ST-NYU,-73.99244159999999,40.7306065
PRINCE ST,-73.9985916,40.72463339999999
CANAL ST,-74.0018946,40.7194006
CITY HALL,-95.615702,37.037152
CORTLANDT ST,-74.0109921,40.710272
RECTOR ST,-74.01363649999999,40.7078954
WHITEHALL S-FRY,-75.4985521,40.6572331
DELANCEY/ESSEX,-73.9881894,40.7185592
BOWERY,-73.9903489,40.725257
CHAMBERS ST,-74.0095631,40.7156663
FULTON ST,-83.89247859999999,41.5939432
BROAD ST,-75.9261563,39.2608738
7 AV,-73.9815816,40.6668935
PARK PLACE,-75.1131797,39.7030637
BOTANIC GARDEN,-87.7894413,42.1490714
PROSPECT PARK,-73.9689558,40.6602037
PARKSIDE AV,-73.96149400000002,40.655293
CHURCH AV,-73.9796075,40.6436845
BEVERLEY ROAD,-73.9499397,40.6450701
CORTELYOU RD,-73.9556515,40.6441499
NEWKIRK PLAZA,-73.9627801,40.6349893
AVENUE H,-73.9616617,40.6297445
AVENUE J,-73.9607296,40.6252684
AVENUE M,-82.553496,35.625743
KINGS HWY,-73.9417836,40.6202587
AVENUE U,-73.94248499999999,40.600369
NECK RD,-73.9550266,40.5951531
SHEEPSHEAD BAY,-73.94575379999999,40.5953955
BRIGHTON BEACH,-73.9596565,40.5780706
OCEAN PKWY,-73.96838620000001,40.61287799999999
BOROUGH HALL,-73.9902805,40.6929218
JAY ST-METROTEC,-73.9862942,40.69225429999999
DEKALB AV,-73.9192588,40.7043202
ATL AV-BARCLAY,NA,NA
UNION ST,-95.61488,37.03698
4AV-9 ST,-73.98929150000001,40.6701803
PROSPECT AV,-73.90177109999999,40.8197136
25 ST,-73.998093,40.660397
36 ST,-74.0042335,40.6545065
45 ST,-74.0095916,40.6493612
53 ST,-73.9847444,40.7641748
BAY RIDGE AV,-74.023376,40.634968
77 ST,-74.0254856,40.6297742
86 ST,-73.9521931,40.7780602
BAY RIDGE-95 ST,-74.0308527,40.6167174
8 AV,-74.0107915,40.6346216
FT HAMILTON PKY,-74.00585319999999,40.6328593
NEW UTRECHT AV,-73.99697429999999,40.6262341
18 AV,-73.9770029,40.6296673
20 AV,NA,NA
BAY PKWY,-73.9857633,40.6096878
9 AV,-73.9923986,40.7582266
50 ST,-73.984006,40.7614242
55 ST,-73.9852045,40.7660013
71 ST,-73.99877699999999,40.6196212
79 ST,-73.955834,40.7736341
25 AV,-73.9867691,40.5975914
BAY 50 ST,-73.9838481,40.5888329
CONEY IS-STILLW,-97.069206,36.118796
W 8 ST-AQUARIUM,-73.975937,40.576126
6 AV,-73.99279779999999,40.742903
3 AV,-97.3435447,38.0478652
1 AV,-80.191272,25.773315
BEDFORD AV,-73.956165,40.6537806
LORIMER ST,-73.94950419999999,40.71477300000001
GRAHAM AV,-73.944034,40.7123777
GRAND ST,-73.9922279,40.717664
MONTROSE AV,-73.9450848,40.707157
MORGAN AV,-73.93370999999999,40.70607589999999
JEFFERSON ST,-85.8733804,40.5847163
MYRTLE-WYCKOFF,-73.9117713,40.699686
HALSEY ST,-73.9044092,40.69577750000001
WILSON AV,-73.9046724,40.6887823
BUSHWICK AV,-73.923672,40.692626
ATLANTIC AV,-73.9080267,40.676295
SUTTER AV,-73.9019022,40.6693045
LIVONIA AV,-73.9004534,40.6638213
NEW LOTS,-73.8898367,40.6632877
EAST 105 ST,-73.89900279999999,40.6513735
CANARSIE-ROCKAW,-73.90256409999999,40.645567
HOWARD BCH JFK,-73.83030099999999,40.660476
JFK JAMAICA CT1,-73.77813909999999,40.6413111
MARCY AV,-73.95785459999999,40.7085154
HEWES ST,-73.95342699999999,40.7068229
FLUSHING AV,-73.93631979999999,40.7020774
MYRTLE AV,-73.9096327,40.699736
KOSCIUSZKO ST,-73.9288263,40.6932868
GATES AV,-73.9222369,40.6896184
