"","state","purpose","total"
"1","British Columbia","Eating Places, Restaurants",32.89
"2","British Columbia","N/A",38586.08
"3","CA","Campaign Event",33.38
"4","CA","Eating Places, Restaurants",79
"5","CA","Event Venue Rental",4132.93
"6","CA","Fee",9.45
"7","CA","Fundraising Event Rental",3670.8
"8","CA","Hotels-Lodging",2900.87
"9","CA","Meals",120.02
"10","CA","Restaurant",326.77
"11","DC","1ST BANKCARD PMT [SB21B.15922]: EVENT EXPENSE: FACILITY RENTAL/CATERING SERVICES",2250.4
"12","DC","1ST BANKCARD PMT [SB21B.15922]: FUNDRAISING EXPENSE",47.4
"13","DC","1ST BANKCARD PMT [SB21B.18545]: EVENT EXPENSE: FACILITY RENTAL",4300
"14","DC","1ST BANKCARD PMT [SB21B.19723]: MEETING EXPENSE",175.27
"15","DC","1ST BANKCARD PMT [SB21B.19724]: TRAVEL: LODGING",792.12
"16","DC","1ST BANKCARD PMT [SB21B.19724]: TRAVEL: LODGING AND MEALS",1635.1
"17","DC","1ST BANKCARD PMT [SB21B.19725]: TRAVEL: LODGING",1192.82
"18","DC","1ST BANKCARD PMT [SB21B.4627]: TRAVEL: LODGING",1238.35
"19","DC","1ST BANKCARD PMT [SB21B.4629]: TRAVEL: LODGING",1130.36
"20","DC","AHEARN REIMBURSEMENT [SB21B.15935]: FUNDRAISING EXPENSE",667.26
"21","DC","AHEARN REIMBURSEMENT [SB21B.4640]: MEETING EXPENSE: MEALS",475
"22","DC","AHEARN REIMBURSEMENT [SB21B.4641]: TRAVEL: FOOD",73.8
"23","DC","AHEARN REIMBURSEMENT [SB21B.4643]: MEETING EXPENSE: MEALS",298.7
"24","DC","AMEX PMT (SB 17.6797): CATERING SERVICES",714.9
"25","DC","AMEX PMT [SB23.1179442]: FACILITY RENTAL & CATERING SERVICES",59251.86
"26","DC","AMEX PMT [SB23.1179442]: MEETING EXPENSE: MEALS",415.4
"27","DC","AMEX PMT [SB23.1179442]: PARKING EXPENSE",22
"28","DC","AMEX PMT [SB23.1179443]: MEETING EXPENSE: MEALS",342.2
"29","DC","AMEX PMT [SB23.1179443]: TRAVEL: LODGING",5101.39
"30","DC","AMEX PMT [SB23.1179444]: MEETING EXPENSE: MEALS",409.2
"31","DC","AMEX PMT [SB23.1179444]: TRAVEL: LODGING",2939.34
"32","DC","AMEX PMT [SB23.925528]: TRAVEL: LODGING",3894.56
"33","DC","AMEX PMT [SB23.925529]: TRAVEL: LODGING",6609.72
"34","DC","AMEX: TRAVEL: LODGING [SB23.728518]",1242.28
